MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Heliomaster-longirostris,45.0,0.0,0.0,1.0,1.0,1.0
Heliornis-fulica,15.0,3.0,3.0,0.8333,0.8333,0.8333
Heliothryx-auritus,12.0,3.0,3.0,0.8,0.8,0.8
Hemithraupis-flavicollis,12.0,0.0,6.0,0.6667,1.0,0.8
Hemithraupis-guira,21.0,3.0,0.0,1.0,0.875,0.9333
Hemitriccus-cohnhafti,132.0,0.0,6.0,0.9565,1.0,0.9778
Hemitriccus-griseipectus,234.0,0.0,3.0,0.9873,1.0,0.9936
Hemitriccus-rufigularis,165.0,3.0,6.0,0.9649,0.9821,0.9735
Henicorhina-leucophrys,42.0,0.0,3.0,0.9333,1.0,0.9655
Herpetotheres-cachinnans,51.0,0.0,0.0,1.0,1.0,1.0
Herpsilochmus-axillaris,54.0,3.0,0.0,1.0,0.9474,0.973
Herpsilochmus-rufimarginatus,15.0,0.0,0.0,1.0,1.0,1.0
Himantopus-mexicanus,174.0,0.0,0.0,1.0,1.0,1.0
Hirundinea-ferruginea,81.0,0.0,0.0,1.0,1.0,1.0
Hydropsalis-maculicaudus,54.0,0.0,0.0,1.0,1.0,1.0
Hylexetastes-stresemanni,87.0,0.0,39.0,0.6905,1.0,0.8169
Hylophilus-thoracicus,39.0,6.0,0.0,1.0,0.8667,0.9286
Hylophylax-naevius,90.0,0.0,0.0,1.0,1.0,1.0
Hypocnemis-peruviana,33.0,0.0,18.0,0.6471,1.0,0.7857
Hypocnemis-subflava,72.0,0.0,9.0,0.8889,1.0,0.9412
Icterus-croconotus,60.0,0.0,0.0,1.0,1.0,1.0
Ictinia-mississippiensis,24.0,3.0,0.0,1.0,0.8889,0.9412
Ictinia-plumbea,21.0,0.0,9.0,0.7,1.0,0.8235
Inezia-inornata,21.0,0.0,0.0,1.0,1.0,1.0
Iodopleura-isabellae,105.0,9.0,3.0,0.9722,0.9211,0.9459
Iridophanes-pulcherrimus,12.0,6.0,3.0,0.8,0.6667,0.7273
Iridosornis-analis,129.0,9.0,15.0,0.8958,0.9348,0.9149
Isleria-hauxwelli,39.0,0.0,0.0,1.0,1.0,1.0
Ixobrychus-exilis,12.0,3.0,3.0,0.8,0.8,0.8
Ixobrychus-involucris,12.0,0.0,0.0,1.0,1.0,1.0
Jabiru-mycteria,42.0,6.0,3.0,0.9333,0.875,0.9032
Jacamerops-aureus,36.0,3.0,3.0,0.9231,0.9231,0.9231
Klais-guimeti,27.0,3.0,0.0,1.0,0.9,0.9474
Knipolegus-aterrimus,6.0,0.0,0.0,1.0,1.0,1.0
Knipolegus-hudsoni,30.0,0.0,0.0,1.0,1.0,1.0
Lamprospiza-melanoleuca,126.0,0.0,24.0,0.84,1.0,0.913
Laniisoma-elegans,72.0,0.0,42.0,0.6316,1.0,0.7742
Laniocera-hypopyrra,45.0,0.0,6.0,0.8824,1.0,0.9375
Laterallus-exilis,9.0,0.0,0.0,1.0,1.0,1.0
Laterallus-melanophaius,33.0,0.0,0.0,1.0,1.0,1.0
Legatus-leucophaius,123.0,0.0,0.0,1.0,1.0,1.0
Lepidocolaptes-fatimalimae,3.0,0.0,0.0,1.0,1.0,1.0
Lepidothrix-coronata,156.0,3.0,9.0,0.9455,0.9811,0.963
Leptodon-cayanensis,57.0,0.0,0.0,1.0,1.0,1.0
Leptopogon-amaurocephalus,6.0,0.0,0.0,1.0,1.0,1.0
Leptopogon-superciliaris,18.0,3.0,0.0,1.0,0.8571,0.9231
Leptopogon-taczanowskii,87.0,0.0,0.0,1.0,1.0,1.0
Leptosittaca-branickii,21.0,0.0,0.0,1.0,1.0,1.0
Leptotila-rufaxilla,78.0,3.0,0.0,1.0,0.963,0.9811
Leptotila-verreauxi,30.0,3.0,6.0,0.8333,0.9091,0.8696
Leucopternis-melanops,48.0,0.0,3.0,0.9412,1.0,0.9697
Liosceles-thoracicus,93.0,0.0,216.0,0.301,1.0,0.4627
Lochmias-nematura,132.0,6.0,6.0,0.9565,0.9565,0.9565
Lophostrix-cristata,96.0,6.0,9.0,0.9143,0.9412,0.9275
Lophotriccus-eulophotes,12.0,0.0,0.0,1.0,1.0,1.0
Lophotriccus-pileatus,12.0,0.0,0.0,1.0,1.0,1.0
Lurocalis-rufiventris,42.0,0.0,3.0,0.9333,1.0,0.9655
Lurocalis-semitorquatus,21.0,3.0,0.0,1.0,0.875,0.9333
Machaeropterus-pyrocephalus,72.0,3.0,21.0,0.7742,0.96,0.8571
Malacoptila-fulvogularis,75.0,0.0,0.0,1.0,1.0,1.0
Margarornis-squamiger,48.0,0.0,0.0,1.0,1.0,1.0
Mecocerculus-leucophrys,162.0,0.0,0.0,1.0,1.0,1.0
Megaceryle-torquata,33.0,3.0,6.0,0.8462,0.9167,0.88
Megarynchus-pitangua,36.0,0.0,0.0,1.0,1.0,1.0
Megascops-centralis,9.0,0.0,0.0,1.0,1.0,1.0
Megascops-choliba,60.0,0.0,9.0,0.8696,1.0,0.9302
Megascops-ingens,27.0,0.0,0.0,1.0,1.0,1.0
