MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Euphonia-chrysopasta,63.0,18.0,18.0,0.7778,0.7778,0.7778
Euphonia-cyanocephala,60.0,0.0,15.0,0.8,1.0,0.8889
Euphonia-laniirostris,69.0,0.0,0.0,1.0,1.0,1.0
Euphonia-mesochrysa,51.0,9.0,0.0,1.0,0.85,0.9189
Euphonia-rufiventris,0.0,15.0,12.0,0.0,0.0,
Euphonia-xanthogaster,12.0,0.0,0.0,1.0,1.0,1.0
Eupsittula-aurea,21.0,30.0,0.0,1.0,0.4118,0.5833
Euscarthmus-meloryphus,36.0,0.0,6.0,0.8571,1.0,0.9231
Falco-deiroleucus,15.0,33.0,0.0,1.0,0.3125,0.4762
Falco-femoralis,57.0,9.0,51.0,0.5278,0.8636,0.6552
Falco-rufigularis,9.0,27.0,12.0,0.4286,0.25,0.3158
Falco-sparverius,75.0,30.0,15.0,0.8333,0.7143,0.7692
Fluvicola-albiventer,36.0,0.0,12.0,0.75,1.0,0.8571
Formicarius-analis,3.0,3.0,0.0,1.0,0.5,0.6667
Formicarius-colma,33.0,6.0,6.0,0.8462,0.8462,0.8462
Formicarius-rufifrons,3.0,42.0,12.0,0.2,0.0667,0.1
Formicarius-rufipectus,3.0,0.0,0.0,1.0,1.0,1.0
Formicivora-rufa,12.0,24.0,0.0,1.0,0.3333,0.5
Forpus-modestus,3.0,15.0,0.0,1.0,0.1667,0.2857
Forpus-xanthopterygius,87.0,33.0,6.0,0.9355,0.725,0.8169
Furnarius-leucopus,3.0,6.0,0.0,1.0,0.3333,0.5
Galbalcyrhynchus-purusianus,54.0,21.0,0.0,1.0,0.72,0.8372
Galbula-cyanicollis,18.0,3.0,15.0,0.5455,0.8571,0.6667
Galbula-dea,45.0,0.0,0.0,1.0,1.0,1.0
Galbula-leucogastra,57.0,3.0,24.0,0.7037,0.95,0.8085
Gampsonyx-swainsonii,15.0,6.0,0.0,1.0,0.7143,0.8333
Geothlypis-aequinoctialis,231.0,9.0,15.0,0.939,0.9625,0.9506
Geotrygon-saphirina,6.0,30.0,0.0,1.0,0.1667,0.2857
Geranospiza-caerulescens,33.0,6.0,24.0,0.5789,0.8462,0.6875
Glaucidium-brasilianum,9.0,12.0,0.0,1.0,0.4286,0.6
Glyphorynchus-spirurus,30.0,6.0,3.0,0.9091,0.8333,0.8696
Gnorimopsar-chopi,24.0,0.0,12.0,0.6667,1.0,0.8
Grallaria-eludens,24.0,45.0,24.0,0.5,0.3478,0.4103
Grallaria-erythroleuca,42.0,6.0,18.0,0.7,0.875,0.7778
Grallaricula-leymebambae,51.0,30.0,12.0,0.8095,0.6296,0.7083
Hafferia-fortis,102.0,33.0,48.0,0.68,0.7556,0.7158
Haplophaedia-assimilis,15.0,3.0,0.0,1.0,0.8333,0.9091
Haplospiza-rustica,147.0,30.0,45.0,0.7656,0.8305,0.7967
Harpagus-bidentatus,39.0,3.0,0.0,1.0,0.9286,0.963
Helicolestes-hamatus,21.0,111.0,18.0,0.5385,0.1591,0.2456
Heliodoxa-leadbeateri,66.0,21.0,0.0,1.0,0.7586,0.8627
Heliomaster-longirostris,42.0,3.0,0.0,1.0,0.9333,0.9655
Heliornis-fulica,6.0,12.0,3.0,0.6667,0.3333,0.4444
Hemithraupis-flavicollis,6.0,6.0,0.0,1.0,0.5,0.6667
Hemithraupis-guira,21.0,3.0,3.0,0.875,0.875,0.875
Hemitriccus-cohnhafti,36.0,96.0,6.0,0.8571,0.2727,0.4138
Hemitriccus-griseipectus,111.0,123.0,3.0,0.9737,0.4744,0.6379
Hemitriccus-rufigularis,72.0,39.0,3.0,0.96,0.6486,0.7742
Henicorhina-leucophrys,18.0,0.0,3.0,0.8571,1.0,0.9231
Herpetotheres-cachinnans,15.0,21.0,0.0,1.0,0.4167,0.5882
Herpsilochmus-axillaris,51.0,6.0,9.0,0.85,0.8947,0.8718
Herpsilochmus-rufimarginatus,3.0,12.0,3.0,0.5,0.2,0.2857
Himantopus-mexicanus,105.0,3.0,0.0,1.0,0.9722,0.9859
Hirundinea-ferruginea,72.0,9.0,3.0,0.96,0.8889,0.9231
Hydropsalis-maculicaudus,36.0,18.0,6.0,0.8571,0.6667,0.75
Hylexetastes-stresemanni,42.0,45.0,69.0,0.3784,0.4828,0.4242
Hylophilus-thoracicus,15.0,0.0,0.0,1.0,1.0,1.0
Hylophylax-naevius,90.0,0.0,12.0,0.8824,1.0,0.9375
Hypocnemis-peruviana,33.0,0.0,6.0,0.8462,1.0,0.9167
Hypocnemis-subflava,72.0,0.0,12.0,0.8571,1.0,0.9231
